Project Name,Package Name,Architecture Smell,Cause of the Smell
TrackMate,fiji.plugin.trackmate.util.cli,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CLIConfigurator; CliGuiBuilder; CommandBuilder; CommandCLIConfigurator; CondaCLIConfigurator; CondaExecutableCLIConfigurator; TrackMateSettingsBuilder; ExampleCommandCLI; CLIUtils; CondaPathConfigCommand]; [CLIConfigurator.SelectableArguments]; [CLIConfigurator.ArgumentVisitor]; [CLIConfigurator.Adder]; [CLIConfigurator.BoundedAdder]; [CLIConfigurator.IntAdder]; [CLIConfigurator.DoubleAdder]; [CLIConfigurator.FlagAdder]; [CLIConfigurator.StringAdder]; [CLIConfigurator.PathAdder]; [CLIConfigurator.ChoiceAdder]; [CLIConfigurator.Flag]; [CLIConfigurator.PathArgument]; [CLIConfigurator.StringArgument]; [CLIConfigurator.AbstractStringArgument]; [CLIConfigurator.IntArgument]; [CLIConfigurator.DoubleArgument]; [CLIConfigurator.ChoiceArgument]; [CLIConfigurator.BoundedValueArgument]; [CLIConfigurator.Argument]; [CliGuiBuilder.CliConfigPanel]; [CLIUtils.LoggerTailerListener]; [CommandCLIConfigurator.ExecutablePath]; [CommonTrackMateArguments]; [CondaCLIConfigurator.CondaEnvironmentCommand]. LCC (Lack of Component Cohesion) = 0.74
TrackMate,fiji.plugin.trackmate.visualization,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.features.track
TrackMate,fiji.plugin.trackmate.visualization,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.displaysettings.
TrackMate,fiji.plugin.trackmate.visualization.hyperstack,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fiji.plugin.trackmate.detection.semiauto
TrackMate,fiji.plugin.trackmate.visualization.hyperstack,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HyperStackDisplayer; HyperStackDisplayerFactory; SpotEditTool; SpotEditToolConfigPanel; SpotOverlay; TrackOverlay; ModelEditActions]; [SpotEditTool.SpotEditToolParams]; [SpotEditTool.MyLogger]. LCC (Lack of Component Cohesion) = 0.33
TrackMate,fiji.plugin.trackmate.visualization.hyperstack,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.displaysettings.
TrackMate,fiji.plugin.trackmate.visualization.table,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllSpotsTableView; TablePanel; TrackTableView; ExportTableToCSVExample; BranchTableView; BranchTableView.BranchTableSelectionListener]; [AllSpotsTableView.SpotTableSelectionListener]; [BranchTableView.Branch]; [TablePanel.MyTableToolTipProvider]; [TablePanel.MyTableModel]; [TablePanel.MyTableCellRenderer]; [TablePanel.MyColorEditor]; [TablePanel.MyLabelEditor]; [TrackTableView.SpotTableSelectionListener]; [TrackTableView.EdgeTableSelectionListener]; [TrackTableView.TrackTableSelectionListener]; [TrackMateTableExample]. LCC (Lack of Component Cohesion) = 0.71
TrackMate,fiji.plugin.trackmate.visualization.table,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.displaysettings.
TrackMate,fiji.plugin.trackmate.visualization.trackscheme,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.gui.displaysettings.
TrackMate,fiji.plugin.trackmate.features.edge,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EdgeTargetAnalyzerTest]; [EdgeTargetAnalyzerTest.TestEdgeTargetAnalyzer]; [EdgeTimeAndLocationAnalyzerTest]; [EdgeTimeAndLocationAnalyzerTest.TestEdgeTimeLocationAnalyzer]; [EdgeVelocityAnalyzerTest]; [EdgeVelocityAnalyzerTest.TestEdgeVelocityAnalyzer]. LCC (Lack of Component Cohesion) = 1.0
TrackMate,fiji.plugin.trackmate.features.edge,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.features.edges.
TrackMate,fiji.plugin.trackmate.interactivetests,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConcurrentSpotTestDrive]; [DogDetectorPerformance]; [GraphTest; TrackLayoutTest]; [HyperStackDisplayerTestDrive]; [LogDetectorPerformance]; [NNTrackerTest]; [SpotFeatureGrapherExample]; [SpotNeighborhoodTest]; [SubpixelLocalizationBugTest]; [TmXmlReaderTestDrive]; [TrackSchemeTestDrive]. LCC (Lack of Component Cohesion) = 0.92
TrackMate,fiji.plugin.trackmate.interactivetests,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: fiji.plugin.trackmate; fiji.plugin.trackmate.graph.
