Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingController,AutoNamingController,10,1,2,46,0,fiji.plugin.trackmate.action.autonaming.AutoNamingController,fiji.plugin.trackmate.action.autonaming.AutoNamingController
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingController,run,17,1,1,61,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.Model; fiji.plugin.trackmate.util.EverythingDisablerAndReenabler; fiji.plugin.trackmate.action.autonaming.AutoNamingPerformer; fiji.plugin.trackmate.util.Threads; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingController,show,9,2,0,82,0,fiji.plugin.trackmate.gui.GuiUtils,fiji.plugin.trackmate.gui.GuiUtils; fiji.plugin.trackmate.TrackMate
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingPanel,AutoNamingPanel,61,1,1,48,0,fiji.plugin.trackmate.action.autonaming.AutoNamingRule,fiji.plugin.trackmate.action.autonaming.AutoNamingRule
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingPerformer,autoNameSpots,8,2,2,45,0,fiji.plugin.trackmate.TrackModel,fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.action.autonaming.AutoNamingPerformer; fiji.plugin.trackmate.graph.ConvexBranchesDecomposition; fiji.plugin.trackmate.Model
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingPerformer,processTrack,35,8,3,56,0,fiji.plugin.trackmate.action.autonaming.AutoNamingRule,fiji.plugin.trackmate.action.autonaming.AutoNamingRule
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingRule,nameRoot,0,1,2,32,0,,
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingRule,nameBranches,0,1,2,43,0,,
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingRule,nameSpot,3,1,2,55,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot
TrackMate,fiji.plugin.trackmate.action.autonaming,AutoNamingRule,getInfoText,0,1,0,69,0,,
TrackMate,fiji.plugin.trackmate.action.autonaming,CopyTrackNameNamingRule,nameRoot,5,1,2,34,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.TrackModel
TrackMate,fiji.plugin.trackmate.action.autonaming,CopyTrackNameNamingRule,nameBranches,3,2,2,42,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot
TrackMate,fiji.plugin.trackmate.action.autonaming,CopyTrackNameNamingRule,getInfoText,3,1,0,49,0,,
TrackMate,fiji.plugin.trackmate.action.autonaming,CopyTrackNameNamingRule,toString,3,1,0,55,0,,
TrackMate,fiji.plugin.trackmate.action.autonaming,DefaultAutoNamingRule,DefaultAutoNamingRule,3,1,0,45,0,,
TrackMate,fiji.plugin.trackmate.action.autonaming,DefaultAutoNamingRule,DefaultAutoNamingRule,6,1,3,50,0,,
TrackMate,fiji.plugin.trackmate.action.autonaming,DefaultAutoNamingRule,nameRoot,6,1,2,58,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.TrackModel
TrackMate,fiji.plugin.trackmate.action.autonaming,DefaultAutoNamingRule,nameBranches,52,11,2,70,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot
TrackMate,fiji.plugin.trackmate.action.autonaming,DefaultAutoNamingRule,nameSpot,19,2,2,157,0,fiji.plugin.trackmate.Spot,fiji.plugin.trackmate.Spot
TrackMate,fiji.plugin.trackmate.action.autonaming,DefaultAutoNamingRule,toString,4,2,0,184,0,,
TrackMate,fiji.plugin.trackmate.action.autonaming,DefaultAutoNamingRule,getInfoText,20,5,0,193,0,,
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsAction,execute,4,1,4,61,0,fiji.plugin.trackmate.action.closegaps.CloseGapsController,fiji.plugin.trackmate.action.closegaps.CloseGapsController
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsByDetection,CloseGapsByDetection,3,1,0,80,0,,
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsByDetection,getParameters,3,1,0,85,0,,
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsByDetection,execute,46,9,2,91,0,fiji.plugin.trackmate.Model,fiji.plugin.trackmate.Model; fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.action.closegaps.GapClosingMethod; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.SpotCollection
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsByDetection,getInfoText,3,1,0,180,0,,
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsByDetection,toString,3,1,0,186,0,,
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsByDetection,main,24,2,1,192,0,fiji.plugin.trackmate.gui.displaysettings.DisplaySettingsIO,fiji.plugin.trackmate.gui.displaysettings.DisplaySettingsIO; fiji.plugin.trackmate.gui.displaysettings.DisplaySettings; fiji.plugin.trackmate.io.TmXmlReader; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.action.closegaps.CloseGapsByDetection; fiji.plugin.trackmate.visualization.hyperstack.HyperStackDisplayer; fiji.plugin.trackmate.visualization.trackscheme.TrackScheme
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsByLinearInterpolation,execute,27,3,2,56,0,fiji.plugin.trackmate.Model,fiji.plugin.trackmate.Model; fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.TrackModel; fiji.plugin.trackmate.Spot; fiji.plugin.trackmate.TrackMate; fiji.plugin.trackmate.action.closegaps.GapClosingMethod
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsByLinearInterpolation,getInfoText,3,1,0,91,0,,
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsByLinearInterpolation,toString,3,1,0,97,0,,
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsController,CloseGapsController,9,1,2,45,0,fiji.plugin.trackmate.action.closegaps.CloseGapsController,fiji.plugin.trackmate.action.closegaps.CloseGapsController
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsController,run,16,1,1,58,0,fiji.plugin.trackmate.Logger,fiji.plugin.trackmate.Logger; fiji.plugin.trackmate.action.closegaps.GapClosingMethod; fiji.plugin.trackmate.util.EverythingDisablerAndReenabler; fiji.plugin.trackmate.util.Threads
TrackMate,fiji.plugin.trackmate.action.closegaps,CloseGapsController,show,9,2,0,78,0,fiji.plugin.trackmate.gui.GuiUtils,fiji.plugin.trackmate.gui.GuiUtils; fiji.plugin.trackmate.TrackMate
