Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Statement,The length of the statement "final double[] calibration=new double[]{imp.getCalibration().pixelWidth`imp.getCalibration().pixelHeight`imp.getCalibration().pixelDepth`imp.getCalibration().frameInterval};" is 173.,228
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Statement,The length of the statement "final ImagePlus lblImp=createLabelImagePlus(model`dims`calibration`exportSpotsAsDots`exportTracksOnly`labelIdPainting`logger);" is 126.,228
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Magic Number,The method contains a magic number: 3,228
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Magic Number,The method contains a magic number: 4,228
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Parameter List,The method has 6 parameters. ,278
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Statement,The length of the statement "return createLabelImagePlus(model`dimensions`calibration`exportSpotsAsDots`exportTracksOnly`labelIdPainting`Logger.VOID_LOGGER);" is 128.,278
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Parameter List,The method has 7 parameters. ,312
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Long Statement,The length of the statement "final ImagePlus lblImp=ImageJFunctions.wrap(createLabelImg(model`dims`calibration`exportSpotsAsDots`exportTracksOnly`labelIdPainting`logger)`"LblImage");" is 153.,312
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Magic Number,The method contains a magic number: 4,312
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Magic Number,The method contains a magic number: 2,312
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Magic Number,The method contains a magic number: 3,312
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImagePlus,Magic Number,The method contains a magic number: 255,312
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,Long Parameter List,The method has 6 parameters. ,359
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,Long Statement,The length of the statement "return createLabelImg(model`dimensions`calibration`exportSpotsAsDots`exportTracksOnly`labelIdPainting`Logger.VOID_LOGGER);" is 122.,359
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,Long Parameter List,The method has 7 parameters. ,394
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,Magic Number,The method contains a magic number: 3,394
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,Magic Number,The method contains a magic number: 3,394
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,Long Parameter List,The method has 7 parameters. ,473
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,Magic Number,The method contains a magic number: 3,473
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,Magic Number,The method contains a magic number: 3,473
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,createLabelImg,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@74d167e,473
TrackMate,fiji.plugin.trackmate.action,LabelImgExporter,idGenerator,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@27cc3c5e,693
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,LabelImgExporterPanel,Long Statement,The length of the statement "labelIdPainting.addItemListener(e -> info.setText("<html>" + ((LabelIdPainting)labelIdPainting.getSelectedItem()).getInfo() + "</html>"));" is 138.,48
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,LabelImgExporterPanel,Magic Number,The method contains a magic number: 250,48
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,LabelImgExporterPanel,Magic Number,The method contains a magic number: 200,48
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,LabelImgExporterPanel,Magic Number,The method contains a magic number: 5,48
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,LabelImgExporterPanel,Magic Number,The method contains a magic number: 5,48
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,LabelImgExporterPanel,Magic Number,The method contains a magic number: 5,48
TrackMate,fiji.plugin.trackmate.action,LabelImgExporterPanel,LabelImgExporterPanel,Magic Number,The method contains a magic number: 5,48
TrackMate,fiji.plugin.trackmate.action,MergeFileAction,execute,Complex Method,Cyclomatic complexity of the method is 8,68
TrackMate,fiji.plugin.trackmate.action,MotilityLabExporter,createSpotTable,Long Statement,The length of the statement "final JScrollPane scrollPane=new JScrollPane(table`JScrollPane.VERTICAL_SCROLLBAR_AS_NEEDED`JScrollPane.HORIZONTAL_SCROLLBAR_AS_NEEDED);" is 136.,115
TrackMate,fiji.plugin.trackmate.action,MotilityLabExporter,createSpotTable,Magic Number,The method contains a magic number: 100,115
TrackMate,fiji.plugin.trackmate.action,MotilityLabExporter,createSpotTable,Magic Number,The method contains a magic number: 1.5,115
TrackMate,fiji.plugin.trackmate.action,MotilityLabExporter,main,Long Statement,The length of the statement "new MotilityLabExporter().execute(new TrackMate(model`settings)`new SelectionModel(model)`DisplaySettingsIO.readUserDefault()`null);" is 132.,308
TrackMate,fiji.plugin.trackmate.action,PlotNSpotsVsTimeAction,execute,Long Statement,The length of the statement "final NSpotPerFrameGrapher grapher=new NSpotPerFrameGrapher(Spot.POSITION_T`Collections.singletonList("N spots")`Dimension.TIME`dimMap`nameMap`model.getSpaceUnits()`model.getTimeUnits()`dataset);" is 195.,65
TrackMate,fiji.plugin.trackmate.action,PlotNSpotsVsTimeAction,execute,Magic Number,The method contains a magic number: 2,65
TrackMate,fiji.plugin.trackmate.action,PlotNSpotsVsTimeAction,execute,Magic Number,The method contains a magic number: 2,65
TrackMate,fiji.plugin.trackmate.action,RecomputeFeatureAction,recompute,Complex Conditional,The conditional expression null != settings && null != settings.imp && null != settings.imp.getCalibration() is complex.,95
